[2020-09-05 18:42:23 RayTracerMainProgram.py:859 -             <module>() ] 3.6.9 |Intel Corporation| (default, Sep 11 2019, 16:40:08) 
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004306
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002262
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004162
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004028
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003894
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002708
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002500
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002270
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002436
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005762
[2020-09-05 18:42:25 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.094250
[2020-09-05 18:42:25 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000886
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005885
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028159
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005710
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.016968
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004293
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002269
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004166
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004006
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003917
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002715
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002496
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002279
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002435
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005758
[2020-09-05 18:42:25 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.094090
[2020-09-05 18:42:25 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000482
[2020-09-05 18:42:25 Rays.py:609 -       mesh_singleray() ] Time doing sanity checks on column numbers 0.000446
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005919
[2020-09-05 18:42:25 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028158
[2020-09-05 18:42:25 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005757
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.019399
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004285
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003849
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004138
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005605
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003880
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002726
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002514
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003852
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002446
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.008928
[2020-09-05 18:42:26 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.105162
[2020-09-05 18:42:26 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000890
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005936
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028263
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005714
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.017002
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004311
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002272
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004166
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004064
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003906
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002705
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002487
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002287
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002427
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005757
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001767
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001794
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001975
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003859
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002177
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.008913
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001732
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001754
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003848
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001676
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000936
[2020-09-05 18:42:26 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.130135
[2020-09-05 18:42:26 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000895
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005859
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028166
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005754
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.016955
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004273
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002279
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004145
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004009
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003893
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002707
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000105
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002507
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002272
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002439
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005755
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001773
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001801
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001964
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002281
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002178
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005748
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001738
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001758
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002270
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001673
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000101
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000934
[2020-09-05 18:42:26 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.122217
[2020-09-05 18:42:26 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000888
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005819
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028196
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005742
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.016959
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004320
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002273
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004191
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004013
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003928
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002720
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002491
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002271
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002438
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005748
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001764
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000107
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001794
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001967
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002275
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002188
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005761
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001746
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001752
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002280
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001669
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000935
[2020-09-05 18:42:26 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.122329
[2020-09-05 18:42:26 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000482
[2020-09-05 18:42:26 Rays.py:609 -       mesh_singleray() ] Time doing sanity checks on column numbers 0.000455
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005799
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028153
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005713
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.019378
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004285
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003835
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004153
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.005604
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003885
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002716
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002498
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003850
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002434
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.008916
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001760
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000103
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001788
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001966
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003855
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002174
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.008918
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001734
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000102
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001762
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.003848
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.001677
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000107
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.000931
[2020-09-05 18:42:26 Rays.py:616 -       mesh_singleray() ] Time doing conestepping 0.140707
[2020-09-05 18:42:26 Rays.py:587 -       mesh_singleray() ] time doing double check 0.000894
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005832
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.028175
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.005735
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.016985
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004367
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002270
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.004190
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.004006
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.003924
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002716
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.000106
[2020-09-05 18:42:26 Rays.py:1047 -         conestepping() ] time checking for doubles and duplicates in cone list 0.002481
[2020-09-05 18:42:26 Rays.py:1086 -         conestepping() ] Time storing cone positions 0.002272
